都道府県番号,都道府県,年,性別,全年齢
0,全国,1995,男女計,125570246
0,全国,1995,男,61574398
0,全国,1995,女,63995848
1,北海道,1995,男女計,5692321
1,北海道,1995,男,2736844
1,北海道,1995,女,2955477
2,青森,1995,男女計,1481663
2,青森,1995,男,704189
2,青森,1995,女,777474
3,岩手,1995,男女計,1419505
3,岩手,1995,男,681986
3,岩手,1995,女,737519
4,宮城,1995,男女計,2328739
4,宮城,1995,男,1144739
4,宮城,1995,女,1184000
5,秋田,1995,男女計,1213667
5,秋田,1995,男,577535
5,秋田,1995,女,636132
6,山形,1995,男女計,1256958
6,山形,1995,男,607316
6,山形,1995,女,649642
7,福島,1995,男女計,2133592
7,福島,1995,男,1042030
7,福島,1995,女,1091562
8,茨城,1995,男女計,2955530
8,茨城,1995,男,1476437
8,茨城,1995,女,1479093
9,栃木,1995,男女計,1984390
9,栃木,1995,男,987426
9,栃木,1995,女,996964
10,群馬,1995,男女計,2003540
10,群馬,1995,男,989610
10,群馬,1995,女,1013930
11,埼玉,1995,男女計,6759311
11,埼玉,1995,男,3419218
11,埼玉,1995,女,3340093
12,千葉,1995,男女計,5797782
12,千葉,1995,男,2923839
12,千葉,1995,女,2873943
13,東京,1995,男女計,11773605
13,東京,1995,男,5892704
13,東京,1995,女,5880901
14,神奈川,1995,男女計,8245900
14,神奈川,1995,男,4209525
14,神奈川,1995,女,4036375
15,新潟,1995,男女計,2488364
15,新潟,1995,男,1209833
15,新潟,1995,女,1278531
16,富山,1995,男女計,1123125
16,富山,1995,男,540921
16,富山,1995,女,582204
17,石川,1995,男女計,1180068
17,石川,1995,男,570835
17,石川,1995,女,609233
18,福井,1995,男女計,826996
18,福井,1995,男,401860
18,福井,1995,女,425136
19,山梨,1995,男女計,881996
19,山梨,1995,男,434707
19,山梨,1995,女,447289
20,長野,1995,男女計,2193984
20,長野,1995,男,1070471
20,長野,1995,女,1123513
21,岐阜,1995,男女計,2100315
21,岐阜,1995,男,1019549
21,岐阜,1995,女,1080766
22,静岡,1995,男女計,3737689
22,静岡,1995,男,1841947
22,静岡,1995,女,1895742
23,愛知,1995,男女計,6868336
23,愛知,1995,男,3439180
23,愛知,1995,女,3429156
24,三重,1995,男女計,1841358
24,三重,1995,男,893982
24,三重,1995,女,947376
25,滋賀,1995,男女計,1287005
25,滋賀,1995,男,634648
25,滋賀,1995,女,652357
26,京都,1995,男女計,2629592
26,京都,1995,男,1276838
26,京都,1995,女,1352754
27,大阪,1995,男女計,8797268
27,大阪,1995,男,4321575
27,大阪,1995,女,4475693
28,兵庫,1995,男女計,5401877
28,兵庫,1995,男,2612369
28,兵庫,1995,女,2789508
29,奈良,1995,男女計,1430862
29,奈良,1995,男,688741
29,奈良,1995,女,742121
30,和歌山,1995,男女計,1080435
30,和歌山,1995,男,513450
30,和歌山,1995,女,566985
31,鳥取,1995,男女計,614929
31,鳥取,1995,男,294414
31,鳥取,1995,女,320515
32,島根,1995,男女計,771441
32,島根,1995,男,368789
32,島根,1995,女,402652
33,岡山,1995,男女計,1950750
33,岡山,1995,男,938439
33,岡山,1995,女,1012311
34,広島,1995,男女計,2881748
34,広島,1995,男,1398986
34,広島,1995,女,1482762
35,山口,1995,男女計,1555543
